摯,執、幸、丸,,真摯
撃,軗,大砲を撃つ,攻撃、爆撃、目撃
搬,般,,搬入、運搬
摂,,,摂取、摂政
搾,窄,乳搾り,搾取
僕,菐,,撲殺、打撲
撤,育攵,,撤回、撤去、撤収
撮,最,写真を撮る,撮影
摩,麻,,摩擦、摩天楼
摘,啇,花を摘む,摘出、指摘
敏,毎,,敏感、俊敏
攻,工,すばやく攻める,攻撃、先攻
擦,祭,表面が擦れる、擦り傷,摩擦
擬,疑,,擬音、擬態
擁,雍、隹、乡,,擁護、擁立、抱擁
斜,余、斗,斜めに滑る,斜面、傾斜
斗,,,北斗七星、一斗缶
斑,王、文,,斑点
敷,甫、方,敷居、河川敷、絨毯を敷く,敷設
敢,,,敢行、勇敢
旋,疋,,旋回、旋盤、凱旋
施,也,加工を施す,施設、施工
斬,車、斤,刀で斬る,斬撃、斬新
斥,,,斥候、排斥
斤,,,一斤、斤量
昇,日、升,日が昇る,昇進、上昇
昆,,,昆虫、昆布
旺,日、王,,旺盛、旺然
旬,,,上旬、下旬、旬の食材
旦,,,元旦、一旦、旦那
普,並,,普通、普段、普遍
晶,,,結晶、水晶
暁,尭,暁の空,暁光、暁天
昧,未,,曖昧、蒙昧
是,,,是正、是非
曖,愛,,曖昧
曇,雲,曇った空,曇天
暫,斬、車、斤,,暫時、暫定
暦,厂林,日本の暦,西暦、太陽暦
暇,叚,暇つぶし,休暇、余暇
朕,,,朕とは。。。
替,,入れ替わる、小銭に替える,代替
曽,,,曽祖父、未曽有
曹,,,法曹、軍曹
更,,夜が更ける、更に増えた,更生、変更
析,斤,,分析、解析
杉,,杉の木材,
朴,,,朴訥、素朴
朱,,,朱肉、朱筆
朽,丂,朽ちた家,老朽
柿,市,柿の木,
架,加,橋を架ける,架橋、高架、書架、十字架
枠,卆,窓枠、枠線,
枕,冘,枕詞、枕元,
杯,不,杯を重ねる,乾杯、祝杯
柄,丙,絵柄、人柄、のこぎりの絵,横柄
栃,,栃木県,
柔,矛,体が柔らかい、柔和,柔道、柔順
柵,冊,柵でかこう,
枯,古,木枯らし、枯れ葉,枯渇
栽,𢦏,,栽培、盆栽
桁,行,桁数、軒桁,
核,亥,,核心、中核、細胞核、結核、核爆発
柳,卯 (khac 卬),柳の木,柳眉、川柳
某,,,某国、某氏
梗,更,,梗概、心筋梗塞
桃,兆,桃太郎,桃源郷、白桃
桑,叒,桑畑,桑園
栓,全,,栓抜き、消火栓
桟,,,桟道、桟橋
棚,朋,戸棚、本棚,
棋,其,,棋士、棋譜
棺,官,,棺おけ、出棺
椅,奇,,椅子
梨,利,梨の果実,
楼,娄,,楼閣、摩天楼
棄,,,棄却、棄権、放棄
楷,皆,,楷書
棟,東,棟木、別棟,病棟
椎,隹,,胸椎、脊椎
款,,,定款、約款、借款
欧,区,,欧米、欧州、西欧
欄,闌、柬,,欄外、空欄、欄干
槽,曹,,水槽、浴槽
概,既,,概念、概要、概略
殉,旬,,殉死、殉職
殊,朱,殊の外,殊勝、特殊
歳,,,歳暮、歳末、歳月
歓,隹、欠,,歓迎、歓声
欺,其、欠,敵を欺く,欺瞞、詐欺
殿,,殿様、殿方、湯殿,貴殿、宮殿、御殿
毀,,,毀損、毀誉
殻,壳,貝殻,甲殻類、地殻
殴,,殴り飛ばす,殴打
殖,直,財産を殖やす、菌が殖える,増殖、繁殖
江,工,入り江,江湖
汗,干,汗をかく,汗腺、発汗
汚,,汚い部屋、名誉を汚す,汚染
氾,,,氾濫
汁,,味噌汁,果汁
沖,中,沖合い,沖天
沢,尺,沢辺,沢山、潤沢、光沢、贅沢
汰,太,,沙汰、淘汰
沙,少,,沙汰
汎,凡,,汎用、汎称
沼,召,沼地、泥沼,沼沢、湖沼
況,兄,,実況、状況、不況
沃,夭,,沃土、肥沃
没,殳,,没頭、沈没、没後、没落、没収
沈,冘,船が沈む,沈没、沈殿、消沈
洪,共,,洪水
泡,包,泡のように消える,気泡、発泡
沸,弗,湯が沸く、風呂を沸かす,沸騰、煮沸
泌,必,,泌尿器、分泌
泊,白,船を泊める、旅館に泊まる,宿泊、停泊、淡泊
浸,,水に浸す,浸水、浸透
浦,甫,津々浦々,
洞,同,洞穴,洞窟、鍾乳洞、洞察
津,聿,津波,興味津々
浄,争,,浄化、洗浄
淫,㸒,淫な行い,淫逸
浪,良,,浪人、浪費、放浪
涙,戻,涙を流す,涙腺、感涙
浮,孚,雲が浮かぶ、水に浮く、勝利に浮かれる,浮上、浮力
浜,兵,浜辺、砂浜,海浜
淑,叔、尗,,淑女、貞淑
渋,,行動を渋る、渋柿、味が渋い,苦渋、渋滞
渓,,,渓谷、渓流
渇,日匂曷,喉が渇く,渇望、枯渇
涯,圭,,天涯、生涯
渦,咼,渦潮,渦中
涼,京,木陰で涼む、涼しい風,納涼
添,忝,寄り添う、手紙を添える,添付、添削
淡,炎、火,淡い色,淡泊、濃淡、冷淡
渉,歩,,干渉、交渉
湾,弯,,湾口、湾曲
湧,勇,泉が湧く,湧出
渡,度,手渡す、橋を渡る,渡航、渡来
湿,显,ガーゼを湿す、紙が湿る,湿原、加湿
滋,兹,,滋養、滋味
溺,弱,海で溺れる,溺愛、溺死
滝,竜,滝壺,
滞,帯,支払いが滞る,滞在、滞納、渋滞
溝,冓,深い溝,海溝、側溝
滑,骨,水で滑る、滑らかな曲面,滑降、滑稽
漸,斬、車、斤,,漸増、漸次
漆,桼,漆塗り,漆器、漆黒
溶,容、谷,水が溶ける、粉を溶かす、水で溶く,溶液、溶岩
滅,戌、火,敵を滅ぼす、種が滅びる,滅亡、絶滅、点滅
漠,莫,,砂漠、広漠、漠然
漏,尸、雨,雨漏り、オイルが漏れる、情報を漏らす,漏電、漏水
漫,曼,,漫然、散漫、漫画、漫談
漂,票,雲が漂う,漂白、漂流、漂着
滴,啇,水が滴る、滴が垂れる,水滴、点滴
漬,責,大根がよく漬かる、野菜を漬ける,
澄,登,耳を澄ます、澄んだ泉,清澄
潜,替,海に潜る、影に潜む,潜水、潜伏
潤,閏,目が潤む、体が潤う、喉を潤す,潤沢
潟,,干潟、新潟県,
潰,貴,箱が潰れる、空き缶を潰す,潰瘍
瀬,,浅瀬、瀬戸際、逢瀬,
濫,監,,濫用、氾濫
濯,翟、隹,,洗濯
濃,農,味が濃い,濃厚、濃縮
濁,蜀,お茶を濁す、濁った水,濁流、濁点
烈,列,,強烈、烈風、熱烈
為,,,行為、人為
炉,戸,,暖炉、囲炉裏、炉端
炊,欠,米を炊く,炊事、炊飯
炎,,炎,火炎、炎上、炎症
煩,頁,,
煎,前,豆を煎る,煎餅、焙煎
煙,亜,タバコが煙い、辺りが煙る、白い煙,煙突、禁煙
焦,隹,恋い焦がれる、寝坊をして焦る、魚が焦げる、肉を焦がす,焦燥感、焦点
煮,者,野菜を煮る、具材が煮える、業を煮やす,煮沸
采,,,采配、喝采
爪,,爪を切る、爪楊枝,
爆,暴,,爆弾、爆発、爆笑
燥,喿、品,,乾燥、焦燥
熊,能,,大きな熊
犠,義,,犠牲
牲,生,,犠牲
牙,,犬の牙,象牙、歯牙
爽,,爽やかな風,爽快、颯爽
爵,,,爵位、男爵
猫,苗,猫に小判,愛猫
狩,守,ぶどう狩り、獲物を狩る,狩猟
狭,夹,道が狭い、範囲を狭める、距離が狭まる,狭義、狭窄
狙,且,急所を狙う,狙撃
狂,王,手元が狂う、物狂おしい,狂気、狂言
猿,袁,猿知恵,猿人
猶,酉,,猶予
献,南、犬,,献血、献上、献立
猟,,,猟犬、猟銃
猛,皿、子、犬,,猛威、猛獣、猛毒
玩,元,,玩具、愛玩
玄,,,玄米、玄関、幽玄
獲,蒦,獲物,捕獲、獲得
獣,not 曽,獣道,獣医、鳥獣
獄,,,地獄、投獄、獄中
璃,离,,瑠璃
瑠,留,,瑠璃
琴,今,琴を習う,琴線、木琴
珠,朱,,珠玉、真珠
珍,,,珍品、珍味、珍客
瓶,并、瓦,,ビール瓶
瓦,,瓦版,瓦礫
璽,,,御璽
璧,辟,,完璧、双璧
環,睘,,環境、循環、環状
畝,not 宙,畝を作る,
畏,,畏れ多い,畏怖、畏敬
甲,,,甲羅、甲虫、甲板
甚,,非常識も甚だしい、甚だ恥ずかしい,甚大、深甚
甘,,甘酒、好意に甘える、子を甘やかす,甘味
疎,束,皆から疎まれる、地理に疎い,疎遠、疎開
畿,,,畿内、近畿
畳,且,石畳、布団を畳む,六畳間
畔,田、半,,湖畔、畦畔
畜,田、玄,,畜産、牧畜、家畜
痕,艮,手術の痕,痕跡、血痕
疲,皮,体が疲れる,疲労、疲弊
症,正,,症状、炎症
疾,矢,,疾患、疾走、疾風
疫,殳,,疫病、免疫、疫病神
瘍,昜,,潰瘍、腫瘍
痴,知,,痴漢、愚痴
痢,利,,下痢、赤痢
痘,豆,,痘苗、天然痘
痩,,痩せた土地,痩身
盆,分、皿,,盆栽、盆地
皆,比、白,皆が集まる,皆勤、皆無
癒,俞,心を癒す、傷が癒える,癒着、治癒
癖,辟,口癖,潔癖、悪癖
療,,,療養、医療、治療
盾,,盾で守る,矛盾
